Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Total_Stops,Price,Duration_in_minute
Air India,2019-03-03,Banglore,Delhi,11:05:00,22:10:00,2,11948,2105
Jet Airways,2019-06-27,Delhi,Cochin,06:45:00,12:35:00,2,13376,1790
Air India,2019-05-15,Kolkata,Banglore,19:00:00,04:40:00,1,6117,580
Air India,2019-06-27,Delhi,Cochin,18:45:00,19:15:00,2,11942,1470
Air Asia,2019-03-24,Banglore,Delhi,05:50:00,08:40:00,0,4284,170
Multiple carriers,2019-06-24,Delhi,Cochin,17:45:00,01:30:00,1,5797,465
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,09:20:00,1,13044,1155
IndiGo,2019-03-24,Kolkata,Banglore,15:10:00,19:50:00,1,7476,280
Air India,2019-04-06,Banglore,Delhi,06:10:00,08:55:00,0,5176,165
Multiple carriers,2019-06-06,Delhi,Cochin,08:00:00,19:00:00,1,12192,660
Air India,2019-03-21,Mumbai,Hyderabad,19:30:00,20:45:00,0,2575,75
Jet Airways,2019-06-18,Banglore,Delhi,07:10:00,10:10:00,0,5769,180
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,19:00:00,2,12819,1430
IndiGo,2019-05-03,Banglore,Delhi,20:00:00,22:50:00,0,4823,170
IndiGo,2019-05-09,Delhi,Cochin,04:55:00,21:00:00,1,6979,965
Air India,2019-06-09,Delhi,Cochin,22:00:00,19:15:00,2,10651,1275
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,12:35:00,2,10919,1320
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,10:05:00,1,14388,910
SpiceJet,2019-06-15,Kolkata,Banglore,22:20:00,00:40:00,0,3873,140
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,10:05:00,1,14231,1210
IndiGo,2019-05-01,Kolkata,Banglore,15:15:00,20:05:00,1,4775,290
Air India,2019-03-03,Banglore,Delhi,07:30:00,10:50:00,2,12074,1640
IndiGo,2019-06-03,Delhi,Cochin,07:35:00,12:10:00,1,6069,275
SpiceJet,2019-05-01,Kolkata,Banglore,11:15:00,18:30:00,1,8844,435
Jet Airways,2019-06-12,Delhi,Cochin,07:05:00,19:00:00,1,15190,715
SpiceJet,2019-03-01,Mumbai,Hyderabad,22:45:00,00:10:00,0,11005,85
IndiGo,2019-03-21,Delhi,Cochin,15:00:00,01:35:00,1,7006,635
Vistara,2019-06-09,Banglore,Delhi,21:00:00,23:50:00,0,4668,170
Vistara,2019-05-18,Kolkata,Banglore,07:10:00,18:50:00,1,9345,700
IndiGo,2019-06-03,Delhi,Cochin,05:05:00,16:10:00,1,6818,665
Multiple carriers,2019-05-18,Delhi,Cochin,11:40:00,01:30:00,1,8405,830
IndiGo,2019-04-09,Delhi,Cochin,18:35:00,01:30:00,1,6573,415
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,04:25:00,2,15129,1125
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,09:20:00,1,10844,800
Air India,2019-05-24,Banglore,Delhi,21:05:00,23:55:00,0,5228,170
IndiGo,2019-06-15,Banglore,Delhi,23:30:00,02:20:00,0,4077,170
Air India,2019-05-21,Kolkata,Banglore,12:00:00,13:15:00,1,7662,1515
Air Asia,2019-06-12,Kolkata,Banglore,07:35:00,23:30:00,1,5192,955
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,09:45:00,1,12384,800
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,18:50:00,1,16289,1415
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,18:00:00,1,9314,1295
Air India,2019-05-01,Kolkata,Banglore,09:25:00,13:45:00,2,16372,1700
Multiple carriers,2019-03-27,Delhi,Cochin,11:30:00,18:50:00,1,11200,440
Air India,2019-04-27,Delhi,Cochin,18:05:00,21:10:00,0,5411,185
Air India,2019-06-15,Delhi,Cochin,13:15:00,19:15:00,2,12182,1800
Air India,2019-06-06,Mumbai,Hyderabad,19:30:00,20:45:00,0,3100,75
Multiple carriers,2019-06-24,Delhi,Cochin,13:00:00,21:00:00,1,7408,480
Air India,2019-03-03,Banglore,Delhi,08:15:00,08:50:00,1,6781,1475
SpiceJet,2019-03-15,Mumbai,Hyderabad,05:45:00,07:05:00,0,2385,80
Jet Airways,2019-06-12,Mumbai,Hyderabad,19:35:00,21:05:00,0,5678,90
IndiGo,2019-03-21,Delhi,Cochin,06:40:00,21:20:00,2,6494,880
Multiple carriers,2019-06-24,Delhi,Cochin,17:00:00,01:30:00,1,7198,510
IndiGo,2019-06-15,Banglore,Delhi,07:10:00,10:05:00,0,4823,175
Air India,2019-03-24,Mumbai,Hyderabad,15:00:00,16:25:00,0,2050,85
Multiple carriers,2019-06-15,Delhi,Cochin,09:00:00,21:00:00,1,7933,720
Jet Airways,2019-06-03,Delhi,Cochin,02:15:00,19:00:00,1,10262,1005
Air India,2019-05-27,Delhi,Cochin,17:15:00,07:40:00,2,13879,865
IndiGo,2019-04-09,Kolkata,Banglore,17:15:00,19:50:00,0,4174,155
Air India,2019-05-09,Delhi,Cochin,19:45:00,19:15:00,2,10178,1410
Vistara,2019-06-27,Banglore,Delhi,09:45:00,12:35:00,0,4668,170
SpiceJet,2019-03-18,Chennai,Kolkata,08:20:00,10:35:00,0,3859,135
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,14:25:00,1,11467,1285
Jet Airways,2019-06-27,Delhi,Cochin,20:00:00,19:00:00,2,14300,1380
Air India,2019-06-09,Kolkata,Banglore,07:00:00,01:20:00,2,13033,1100
Jet Airways,2019-03-06,Banglore,Delhi,20:35:00,09:30:00,1,17261,775
IndiGo,2019-04-12,Kolkata,Banglore,11:30:00,14:05:00,0,4174,155
Air India,2019-03-09,Banglore,Delhi,22:00:00,13:20:00,1,8425,920
Air India,2019-05-01,Kolkata,Banglore,10:00:00,05:25:00,2,13899,1165
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,09:45:00,1,14151,1450
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,12:35:00,2,14441,425
SpiceJet,2019-04-15,Kolkata,Banglore,22:20:00,00:40:00,0,3841,140
Jet Airways,2019-05-24,Banglore,Delhi,07:10:00,10:10:00,0,7229,180
IndiGo,2019-03-18,Mumbai,Hyderabad,02:30:00,04:00:00,0,2754,90
Multiple carriers,2019-05-27,Delhi,Cochin,09:45:00,16:10:00,1,10486,385
Air India,2019-06-09,Delhi,Cochin,21:00:00,07:40:00,1,8372,640
SpiceJet,2019-05-27,Delhi,Cochin,06:05:00,11:20:00,1,6749,315
Jet Airways,2019-03-21,Banglore,Delhi,07:00:00,21:20:00,1,7832,860
Jet Airways,2019-06-15,Banglore,Delhi,18:55:00,22:00:00,0,8016,185
SpiceJet,2019-05-03,Chennai,Kolkata,17:45:00,20:05:00,0,3597,140
Air India,2019-05-21,Delhi,Cochin,08:00:00,19:15:00,1,8372,675
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,18:15:00,1,7064,1400
Jet Airways,2019-03-01,Banglore,Delhi,08:00:00,15:15:00,1,22270,435
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,16:20:00,1,7064,1285
IndiGo,2019-06-03,Delhi,Cochin,17:10:00,01:30:00,1,6104,500
IndiGo,2019-04-01,Banglore,Delhi,00:30:00,03:25:00,0,4423,175
Jet Airways,2019-05-09,Delhi,Cochin,18:15:00,19:00:00,1,15554,1485
SpiceJet,2019-05-18,Mumbai,Hyderabad,05:45:00,07:15:00,0,2017,90
SpiceJet,2019-04-27,Banglore,Delhi,21:10:00,00:05:00,0,3971,175
Air India,2019-04-09,Delhi,Cochin,20:40:00,09:25:00,1,4487,765
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,04:40:00,1,8586,520
Multiple carriers,2019-03-03,Delhi,Cochin,06:40:00,18:50:00,1,15135,730
SpiceJet,2019-06-06,Mumbai,Hyderabad,13:15:00,14:45:00,0,2017,90
Air Asia,2019-06-03,Delhi,Cochin,16:45:00,06:35:00,1,11410,830
Multiple carriers,2019-06-01,Delhi,Cochin,09:15:00,19:00:00,1,12042,585
Jet Airways,2019-06-09,Delhi,Cochin,09:25:00,12:35:00,2,13882,1630
Jet Airways,2019-05-06,Delhi,Cochin,22:50:00,12:35:00,1,15554,825
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,16:20:00,1,10844,1285
Jet Airways,2019-06-12,Delhi,Cochin,17:30:00,19:00:00,1,10262,1530
Multiple carriers,2019-03-09,Delhi,Cochin,02:15:00,12:55:00,1,18260,640
IndiGo,2019-03-03,Banglore,Delhi,18:25:00,21:20:00,0,8855,175
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,21:05:00,1,13067,1685
Air India,2019-03-12,Banglore,Delhi,06:45:00,23:15:00,1,11602,990
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,18:15:00,1,10844,705
IndiGo,2019-05-15,Banglore,Delhi,21:15:00,00:15:00,0,3943,180
SpiceJet,2019-05-24,Kolkata,Banglore,09:00:00,11:25:00,0,3873,145
Jet Airways,2019-03-06,Banglore,Delhi,07:00:00,21:20:00,1,16736,860
IndiGo,2019-04-03,Delhi,Cochin,10:35:00,15:35:00,1,5073,300
SpiceJet,2019-06-27,Chennai,Kolkata,17:45:00,20:05:00,0,3543,140
Jet Airways,2019-06-27,Banglore,Delhi,17:45:00,20:45:00,0,7229,180
SpiceJet,2019-06-06,Delhi,Cochin,08:45:00,13:15:00,1,5158,270
SpiceJet,2019-06-01,Kolkata,Banglore,06:55:00,09:30:00,0,3873,155
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,19:50:00,1,13044,1495
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,19:45:00,1,16289,775
Jet Airways,2019-03-12,Banglore,Delhi,20:35:00,10:45:00,1,11087,850
SpiceJet,2019-04-03,Kolkata,Banglore,06:55:00,09:30:00,0,3841,155
Jet Airways,2019-03-06,Banglore,Delhi,20:35:00,08:15:00,1,16736,700
IndiGo,2019-05-24,Banglore,Delhi,21:15:00,00:15:00,0,3943,180
IndiGo,2019-06-03,Delhi,Cochin,11:55:00,22:30:00,1,6442,635
Jet Airways,2019-03-21,Delhi,Cochin,19:45:00,18:50:00,1,12347,1385
Jet Airways,2019-05-18,Delhi,Cochin,11:30:00,04:25:00,1,12373,1015
Air India,2019-06-09,Kolkata,Banglore,16:45:00,21:05:00,1,7662,1700
Multiple carriers,2019-05-21,Delhi,Cochin,08:45:00,19:00:00,1,9794,615
Multiple carriers,2019-03-03,Delhi,Cochin,07:00:00,15:30:00,1,15603,510
SpiceJet,2019-05-09,Kolkata,Banglore,09:00:00,11:25:00,0,3873,145
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,10:05:00,1,13584,845
IndiGo,2019-05-06,Delhi,Cochin,11:25:00,01:30:00,1,6979,845
Air Asia,2019-03-09,Banglore,Delhi,23:25:00,02:10:00,0,4482,165
IndiGo,2019-03-09,Delhi,Cochin,06:40:00,16:10:00,1,6442,570
Jet Airways,2019-03-12,Banglore,Delhi,05:50:00,15:00:00,1,11297,550
Jet Airways,2019-06-06,Banglore,Delhi,08:20:00,11:20:00,0,6478,180
IndiGo,2019-05-09,Delhi,Cochin,17:10:00,01:30:00,1,8330,500
Jet Airways,2019-06-09,Delhi,Cochin,08:00:00,19:00:00,1,10262,660
Multiple carriers,2019-05-18,Delhi,Cochin,15:00:00,01:30:00,1,13727,630
Air India,2019-03-12,Mumbai,Hyderabad,10:05:00,19:10:00,2,9736,545
IndiGo,2019-05-01,Banglore,Delhi,23:30:00,02:20:00,0,4591,170
Air Asia,2019-06-15,Delhi,Cochin,07:55:00,22:25:00,1,6253,870
IndiGo,2019-05-15,Mumbai,Hyderabad,21:20:00,22:50:00,0,2227,90
Multiple carriers,2019-06-01,Delhi,Cochin,10:00:00,19:15:00,1,16108,555
Multiple carriers,2019-03-06,Delhi,Cochin,09:10:00,19:15:00,1,15077,605
Jet Airways,2019-06-03,Delhi,Cochin,09:00:00,12:35:00,1,10262,1655
IndiGo,2019-06-03,Kolkata,Banglore,20:25:00,23:10:00,0,4804,165
IndiGo,2019-03-06,Delhi,Cochin,09:10:00,21:00:00,1,14871,710
GoAir,2019-03-27,Delhi,Cochin,06:00:00,13:20:00,1,4563,440
Vistara,2019-05-03,Chennai,Kolkata,07:05:00,09:20:00,0,3687,135
Air India,2019-04-21,Delhi,Cochin,06:10:00,23:00:00,1,7174,1010
Jet Airways,2019-06-09,Mumbai,Hyderabad,19:35:00,21:05:00,0,5678,90
Jet Airways,2019-03-01,Banglore,Delhi,08:55:00,00:45:00,1,26890,950
Multiple carriers,2019-06-27,Delhi,Cochin,13:00:00,21:00:00,1,7408,480
IndiGo,2019-05-21,Kolkata,Banglore,21:00:00,02:15:00,1,7228,315
IndiGo,2019-04-15,Delhi,Cochin,05:05:00,12:10:00,1,6287,425
IndiGo,2019-06-06,Delhi,Cochin,07:30:00,21:00:00,1,6093,810
IndiGo,2019-06-01,Delhi,Cochin,06:50:00,12:10:00,1,5298,320
IndiGo,2019-05-09,Delhi,Cochin,06:40:00,21:00:00,1,7191,860
Vistara,2019-05-06,Kolkata,Banglore,17:00:00,20:20:00,1,8610,1640
IndiGo,2019-06-03,Banglore,Delhi,08:30:00,11:20:00,0,4823,170
SpiceJet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,0,2437,90
Jet Airways,2019-03-06,Banglore,Delhi,08:55:00,15:15:00,1,19225,380
IndiGo,2019-06-21,Banglore,Delhi,18:15:00,21:20:00,0,4990,185
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,10:05:00,1,9663,1200
Air India,2019-05-01,Kolkata,Banglore,07:00:00,05:25:00,2,14424,1345
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,19:00:00,2,10368,810
Air India,2019-03-09,Delhi,Cochin,08:00:00,19:15:00,1,16754,675
Air India,2019-05-21,Kolkata,Banglore,09:25:00,13:45:00,2,11542,1700
Jet Airways,2019-06-09,Kolkata,Banglore,16:30:00,23:35:00,1,10844,425
Jet Airways,2019-04-09,Delhi,Cochin,09:25:00,04:25:00,2,11546,1140
Vistara,2019-03-03,Banglore,Delhi,07:00:00,09:40:00,0,8028,160
Jet Airways,2019-04-01,Mumbai,Hyderabad,10:20:00,11:50:00,0,3205,90
Air India,2019-05-21,Kolkata,Banglore,16:50:00,05:35:00,2,12324,765
IndiGo,2019-04-01,Banglore,Delhi,10:10:00,13:00:00,0,3943,170
Multiple carriers,2019-03-21,Delhi,Cochin,14:00:00,01:35:00,1,13542,695
Air India,2019-05-09,Delhi,Cochin,05:00:00,19:15:00,2,10441,2295
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,19:10:00,1,13067,575
IndiGo,2019-06-06,Mumbai,Hyderabad,19:05:00,20:35:00,0,2754,90
Air India,2019-03-03,Banglore,Delhi,12:00:00,23:55:00,3,10573,715
IndiGo,2019-03-24,Banglore,Delhi,00:40:00,03:25:00,0,4238,165
Air India,2019-05-21,Delhi,Cochin,13:05:00,09:25:00,2,10467,1220
Air Asia,2019-03-01,Banglore,Delhi,05:50:00,08:40:00,0,10715,170
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,23:25:00,1,7927,1625
Jet Airways,2019-03-12,Banglore,Delhi,18:55:00,16:10:00,1,11087,1275
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,19:10:00,1,9314,1570
IndiGo,2019-03-01,Chennai,Kolkata,11:35:00,14:00:00,0,7900,145
Multiple carriers,2019-06-12,Delhi,Cochin,19:00:00,01:30:00,1,6795,390
SpiceJet,2019-05-18,Kolkata,Banglore,11:35:00,18:50:00,1,8479,435
IndiGo,2019-06-01,Banglore,Delhi,13:00:00,15:50:00,0,3943,170
Air India,2019-03-01,Banglore,Delhi,11:50:00,08:55:00,1,14594,1265
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,12:35:00,2,13292,910
Jet Airways,2019-06-12,Delhi,Cochin,13:00:00,19:00:00,1,10262,360
IndiGo,2019-06-21,Chennai,Kolkata,19:35:00,21:55:00,0,3597,140
SpiceJet,2019-05-06,Chennai,Kolkata,09:45:00,12:00:00,0,3543,135
SpiceJet,2019-03-09,Delhi,Cochin,16:35:00,22:50:00,1,7084,375
IndiGo,2019-05-18,Delhi,Cochin,23:30:00,04:35:00,1,10958,305
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,19:00:00,1,10262,360
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,19:45:00,2,8098,2315
SpiceJet,2019-05-01,Chennai,Kolkata,08:20:00,10:35:00,0,3543,135
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,19:50:00,1,10844,345
Multiple carriers,2019-06-12,Delhi,Cochin,07:10:00,22:30:00,1,6513,920
Multiple carriers,2019-03-03,Delhi,Cochin,02:15:00,15:30:00,1,17057,795
Jet Airways,2019-05-03,Banglore,Delhi,19:50:00,22:50:00,0,7229,180
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,09:20:00,1,8529,730
Air Asia,2019-05-21,Delhi,Cochin,16:45:00,22:30:00,1,8028,345
Multiple carriers,2019-06-06,Delhi,Cochin,10:20:00,19:15:00,1,8266,535
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,12:35:00,2,14441,425
IndiGo,2019-05-15,Delhi,Cochin,08:35:00,16:10:00,1,6442,455
Vistara,2019-06-12,Banglore,Delhi,21:00:00,23:50:00,0,4668,170
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,19:50:00,1,10844,685
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,10:55:00,1,8066,1075
IndiGo,2019-04-15,Banglore,Delhi,07:10:00,10:05:00,0,4823,175
Air India,2019-05-01,Mumbai,Hyderabad,13:55:00,15:25:00,0,3625,90
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,04:25:00,1,10262,1015
Air India,2019-03-15,Banglore,Delhi,11:50:00,19:50:00,1,7192,480
Air India,2019-03-09,Banglore,Delhi,13:20:00,16:10:00,0,8851,170
Multiple carriers,2019-03-21,Delhi,Cochin,08:00:00,18:50:00,1,11667,650
IndiGo,2019-06-12,Chennai,Kolkata,22:05:00,00:25:00,0,5277,140
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,20:45:00,1,10844,1695
Air India,2019-05-21,Kolkata,Banglore,14:15:00,16:45:00,0,5510,150
Air India,2019-03-18,Mumbai,Hyderabad,06:20:00,07:40:00,0,3100,80
Jet Airways,2019-06-27,Delhi,Cochin,18:15:00,19:00:00,1,10262,1485
Air India,2019-03-15,Banglore,Delhi,08:15:00,22:55:00,2,7904,880
Multiple carriers,2019-05-09,Delhi,Cochin,13:00:00,01:30:00,1,9424,750
IndiGo,2019-05-21,Kolkata,Banglore,19:55:00,23:50:00,1,4226,235
Jet Airways,2019-06-27,Delhi,Cochin,09:40:00,12:35:00,2,11118,1615
GoAir,2019-04-01,Kolkata,Banglore,16:40:00,00:15:00,1,5171,455
Jet Airways,2019-03-27,Delhi,Cochin,23:05:00,04:25:00,1,7438,320
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,14:25:00,1,14151,1730
Jet Airways,2019-06-12,Delhi,Cochin,09:25:00,04:25:00,2,13882,1140
IndiGo,2019-03-21,Kolkata,Banglore,15:10:00,17:45:00,0,4148,155
Jet Airways,2019-03-12,Banglore,Delhi,05:45:00,12:15:00,1,17524,390
IndiGo,2019-03-03,Delhi,Cochin,09:10:00,01:35:00,1,14871,985
Air India,2019-04-03,Mumbai,Hyderabad,13:55:00,15:25:00,0,2575,90
IndiGo,2019-03-21,Delhi,Cochin,07:30:00,13:20:00,1,9861,350
Jet Airways,2019-06-24,Delhi,Cochin,20:00:00,04:25:00,2,14300,505
Vistara,2019-05-15,Kolkata,Banglore,07:10:00,10:45:00,1,8452,1655
Jet Airways,2019-06-03,Delhi,Cochin,19:15:00,12:35:00,1,14714,1040
IndiGo,2019-05-09,Kolkata,Banglore,09:20:00,14:15:00,1,11465,295
Multiple carriers,2019-03-06,Delhi,Cochin,09:45:00,16:10:00,1,10276,385
Air Asia,2019-03-24,Kolkata,Banglore,19:55:00,23:30:00,1,5554,215
SpiceJet,2019-05-21,Kolkata,Banglore,06:55:00,09:30:00,0,3873,155
IndiGo,2019-06-01,Banglore,Delhi,10:10:00,13:00:00,0,3943,170
Air India,2019-04-03,Banglore,Delhi,06:10:00,08:55:00,0,4441,165
Air India,2019-03-06,Delhi,Cochin,20:40:00,09:25:00,1,12677,765
IndiGo,2019-03-15,Banglore,Delhi,16:15:00,20:35:00,1,5607,260
Vistara,2019-06-12,Chennai,Kolkata,17:45:00,20:05:00,0,11982,140
Jet Airways,2019-03-06,Banglore,Delhi,14:05:00,19:10:00,1,19225,305
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,21:05:00,1,10953,690
Vistara,2019-05-18,Delhi,Cochin,06:00:00,09:10:00,0,6741,190
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,18:15:00,1,14781,590
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,23:35:00,1,14781,570
Jet Airways,2019-03-27,Mumbai,Hyderabad,02:55:00,04:25:00,0,5678,90
Multiple carriers,2019-06-03,Delhi,Cochin,11:30:00,21:00:00,1,13587,570
Vistara,2019-04-24,Banglore,Delhi,17:00:00,19:35:00,0,5613,155
SpiceJet,2019-05-21,Kolkata,Banglore,22:20:00,00:40:00,0,3841,140
Air India,2019-03-03,Banglore,Delhi,05:50:00,12:55:00,1,12389,425
SpiceJet,2019-05-12,Chennai,Kolkata,17:45:00,20:05:00,0,3597,140
Jet Airways,2019-03-09,Banglore,Delhi,07:00:00,20:20:00,1,11087,800
IndiGo,2019-06-12,Delhi,Cochin,05:35:00,08:50:00,0,5601,195
Jet Airways,2019-06-12,Delhi,Cochin,11:30:00,19:00:00,1,14714,450
Multiple carriers,2019-06-24,Delhi,Cochin,19:00:00,01:30:00,1,7198,390
Air India,2019-06-15,Mumbai,Hyderabad,19:30:00,20:45:00,0,3100,75
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,23:25:00,1,9870,385
Vistara,2019-05-06,Banglore,Delhi,21:00:00,23:50:00,0,4668,170
Jet Airways,2019-05-01,Banglore,Delhi,17:45:00,20:45:00,0,7229,180
Air India,2019-03-06,Mumbai,Hyderabad,06:00:00,09:10:00,2,13169,1630
GoAir,2019-03-24,Banglore,Delhi,11:40:00,14:35:00,0,3898,175
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,19:00:00,2,13014,810
Multiple carriers,2019-06-06,Delhi,Cochin,13:00:00,01:30:00,1,13377,750
IndiGo,2019-03-06,Delhi,Cochin,08:35:00,22:20:00,1,7514,825
Multiple carriers,2019-03-21,Delhi,Cochin,09:00:00,15:30:00,1,8307,390
Air India,2019-03-09,Delhi,Cochin,04:00:00,07:40:00,1,10315,1660
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,09:20:00,1,14178,1010
Air India,2019-03-06,Mumbai,Hyderabad,20:15:00,09:15:00,1,9535,780
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,22:35:00,1,10031,850
Jet Airways,2019-05-15,Banglore,Delhi,17:45:00,20:45:00,0,7229,180
IndiGo,2019-06-27,Chennai,Kolkata,14:45:00,17:05:00,0,3597,140
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,09:05:00,1,7927,965
Air India,2019-05-01,Kolkata,Banglore,07:00:00,16:15:00,1,10203,555
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,16:20:00,1,14781,475
IndiGo,2019-05-01,Mumbai,Hyderabad,09:10:00,10:40:00,0,4575,90
SpiceJet,2019-03-06,Chennai,Kolkata,17:45:00,20:05:00,0,7298,140
Air India,2019-06-03,Delhi,Cochin,07:10:00,07:40:00,2,12698,1470
IndiGo,2019-06-09,Delhi,Cochin,11:25:00,21:00:00,1,6416,575
SpiceJet,2019-03-09,Kolkata,Banglore,22:20:00,00:40:00,0,4622,140
IndiGo,2019-04-06,Delhi,Cochin,04:55:00,13:20:00,1,5307,505
Air India,2019-03-24,Chennai,Kolkata,11:40:00,13:55:00,0,4405,135
Multiple carriers,2019-03-27,Delhi,Cochin,18:15:00,01:35:00,1,12327,440
IndiGo,2019-04-15,Kolkata,Banglore,21:25:00,00:05:00,0,4174,160
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,23:35:00,1,13941,425
Air India,2019-05-01,Kolkata,Banglore,10:00:00,16:15:00,1,10203,375
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,04:40:00,1,13731,585
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,19:50:00,1,7064,1430
Jet Airways,2019-03-06,Banglore,Delhi,05:45:00,19:10:00,1,16736,805
Multiple carriers,2019-06-06,Delhi,Cochin,10:00:00,01:30:00,1,13377,930
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,19:10:00,1,12692,575
Air India,2019-05-18,Delhi,Cochin,13:15:00,09:25:00,2,11307,1210
IndiGo,2019-04-24,Banglore,Delhi,00:30:00,03:25:00,0,3419,175
Air Asia,2019-05-01,Kolkata,Banglore,15:10:00,23:30:00,2,5192,500
Multiple carriers,2019-06-06,Delhi,Cochin,12:50:00,19:15:00,1,8266,385
Multiple carriers,2019-03-03,Delhi,Cochin,04:00:00,13:20:00,1,14973,560
SpiceJet,2019-06-03,Banglore,Delhi,21:10:00,00:05:00,0,3257,175
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,23:35:00,1,14571,425
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,19:00:00,1,16079,1395
IndiGo,2019-04-06,Kolkata,Banglore,11:30:00,14:05:00,0,4174,155
Air India,2019-06-27,Delhi,Cochin,16:55:00,19:15:00,2,13591,1580
Jet Airways,2019-03-12,Banglore,Delhi,05:45:00,23:00:00,1,13817,1035
Air India,2019-05-21,Delhi,Cochin,09:30:00,23:00:00,1,8907,810
Air India,2019-06-15,Delhi,Cochin,10:00:00,19:15:00,1,11241,555
IndiGo,2019-06-09,Mumbai,Hyderabad,16:55:00,18:25:00,0,3175,90
Jet Airways,2019-05-27,Delhi,Cochin,17:30:00,12:35:00,1,12898,1145
Air India,2019-03-12,Mumbai,Hyderabad,09:15:00,09:15:00,1,8065,1440
Air India,2019-04-03,Banglore,Delhi,21:05:00,23:55:00,0,4441,170
Multiple carriers,2019-06-03,Delhi,Cochin,10:35:00,19:15:00,1,7354,520
Air India,2019-06-12,Delhi,Cochin,12:30:00,09:25:00,1,7480,1255
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,12:35:00,2,13029,1025
Air India,2019-06-15,Delhi,Cochin,22:00:00,19:15:00,2,10441,1275
Air India,2019-06-06,Kolkata,Banglore,14:30:00,08:55:00,2,15107,1105
Jet Airways,2019-06-18,Banglore,Delhi,17:45:00,20:45:00,0,8016,180
IndiGo,2019-05-18,Kolkata,Banglore,15:15:00,17:45:00,0,4804,150
Air India,2019-05-12,Kolkata,Banglore,09:50:00,23:15:00,3,14015,805
IndiGo,2019-03-09,Delhi,Cochin,06:40:00,12:00:00,1,5647,320
IndiGo,2019-05-21,Delhi,Cochin,23:30:00,04:35:00,1,8745,305
Air India,2019-06-21,Mumbai,Hyderabad,13:55:00,15:25:00,0,3100,90
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,2,11360,485
Multiple carriers,2019-06-15,Delhi,Cochin,07:05:00,19:15:00,1,16108,730
SpiceJet,2019-06-09,Kolkata,Banglore,11:15:00,18:30:00,1,9946,435
IndiGo,2019-05-21,Delhi,Cochin,15:10:00,20:50:00,1,6027,340
